store,address,lat,lng
다산메인타워점,경기 남양주시 다산중앙로82번안길 118,37.6120172,127.1645873
세브란스병원점점,"서울특별시 서대문구 연세로 50-1 (신촌동,신촌세브란스병원) 본관 3층",37.5623446,126.9408265
한림대성심병원점,"경기도 안양시 동안구 관평로170번길 22 (평촌동,한림대학교성심병원) 1층",37.3917575,126.9620529
판교대장점,경기도 성남시 판교대장로 7길 6-32,37.3710619,127.0691306
아산배방농협연화점,충청남도 아산시 배방읍 세교중앙1길 78-1,36.7811686,127.0922571
자양점,서울시 광진구 능동로 50 이튼타워리버2차 108호,37.5356631,127.0693472
화정덕양구청점,경기도 고양시 덕양구 화중로104번 24 (송화빌딩) 1층 108호,,
동천동문점,"경기도 용인시 수지구 동천로 58 (동천동,빌프라자) 105,106호",37.3405055,127.0967479
논산반월점,충청남도 논산시 해월로 154 (반월동) 1층,36.2042457,127.0846366
구로지타워점,"서울특별시 구로구 디지털로26길 38 (구로동,G-TOWER) 1층",37.4798724,126.8953622
전남장흥점,전라남도 장흥군 장흥읍 토요시장1길 9-1 (예양리) 1층,34.6736962,126.9022329
조치원욱일점,세종특별자치시 조치원읍 행복10길 3,36.6035199,127.2912121
수원세류미영점,"경기도 수원시 권선구 정조로 432 (세류동,미영아파트) 1층",37.2479523,127.0143328
광주화정힐스테이트점,광주광역시 서구 화정로 220 1층,35.1458437,126.8812430
울산삼산점,"울산광역시 남구 삼산중로48번길 13 (삼산동) 1층,",35.5383463,129.3372767
부산서대신역점,"부산광역시 서구 대티로 178, 106,107호 서대신동2가,대신해모로센트럴아파트",35.1109466,129.0102857
울산매곡점,울산 북구 신기3길 40,35.6464057,129.3537452
주안파크자이점,"인천광역시 미추홀구 인하로 221번길 6 1층 103호(주안동,다안빌딩)",37.4487197,126.6730074
춘천효자점,강원특별자치도 춘천시 공지로 240 (효자동) 1층,37.8639148,127.7374641
퇴계원점,경기도 남양주시 퇴계원면 퇴계원로 86 (퇴계원리) 1층,37.6539807,127.1439131
복현GS점,대구광역시 북구 검단로 12 (복현동) 1층,35.8989081,128.6155478
수원정자블루밍점,경기도 수원시 장안구 파장로 47 (정자동) 1층,37.3054780,126.9954580
동대구해모로점,"대구광역시 동구 동북로 340 1201동 1층 117호 (신암동, 동대구 해모로 스퀘어 웨스트",35.8894885,128.6258424
대구중동점,대구광역시 수성구 수성로 211 (중동) 1층,35.8443512,128.6123551
다올점,서울특별시 서초구 내곡동 1111,,
평촌학원가점,경기도 안양시 동안구 평촌대로 113 (호계동) AC프라자 1층 101호,37.3823389,126.9600192
창원대동백화점점,"경상남도 창원시 성산구 원이대로 730 (상남동,대동백화점) 1층",35.2203120,128.6907435
